instance_id,n,m,density,profit_type,alpha,greedy_profit,exact_profit,approximation_ratio,profit_gap,relative_profit_gap,greedy_feasible,exact_feasible,greedy_consistent,exact_consistent
4,7,3,sparse,anticorrelated,0.8,162,258,0.627906976744186,96,0.37209302325581395,True,True,True,True
5,7,3,sparse,anticorrelated,0.8,72,134,0.5373134328358209,62,0.4626865671641791,True,True,True,True
1,8,1,dense,random,0.3,380,380,1.0,0,0.0,True,True,True,True
2,8,1,dense,random,0.3,392,392,1.0,0,0.0,True,True,True,True
3,8,1,dense,random,0.3,470,470,1.0,0,0.0,True,True,True,True
4,8,1,dense,random,0.3,200,248,0.8064516129032258,48,0.1935483870967742,True,True,True,True
5,8,1,dense,random,0.3,288,288,1.0,0,0.0,True,True,True,True
1,8,1,dense,random,0.8,988,988,1.0,0,0.0,True,True,True,True
2,8,1,dense,random,0.8,1078,1114,0.9676840215439856,36,0.03231597845601436,True,True,True,True
3,8,1,dense,random,0.8,1410,1410,1.0,0,0.0,True,True,True,True
4,8,1,dense,random,0.8,693,693,1.0,0,0.0,True,True,True,True
5,8,1,dense,random,0.8,768,768,1.0,0,0.0,True,True,True,True
1,8,1,dense,correlated,0.3,25,25,1.0,0,0.0,True,True,True,True
2,8,1,dense,correlated,0.3,9,12,0.75,3,0.25,True,True,True,True
3,8,1,dense,correlated,0.3,15,15,1.0,0,0.0,True,True,True,True
4,8,1,dense,correlated,0.3,14,14,1.0,0,0.0,True,True,True,True
5,8,1,dense,correlated,0.3,18,18,1.0,0,0.0,True,True,True,True
1,8,1,dense,correlated,0.8,65,65,1.0,0,0.0,True,True,True,True
2,8,1,dense,correlated,0.8,36,39,0.9230769230769231,3,0.07692307692307693,True,True,True,True
3,8,1,dense,correlated,0.8,39,39,1.0,0,0.0,True,True,True,True
4,8,1,dense,correlated,0.8,40,40,1.0,0,0.0,True,True,True,True
5,8,1,dense,correlated,0.8,54,54,1.0,0,0.0,True,True,True,True
1,8,1,dense,anticorrelated,0.3,90,90,1.0,0,0.0,True,True,True,True
2,8,1,dense,anticorrelated,0.3,104,104,1.0,0,0.0,True,True,True,True
3,8,1,dense,anticorrelated,0.3,75,75,1.0,0,0.0,True,True,True,True
4,8,1,dense,anticorrelated,0.3,105,105,1.0,0,0.0,True,True,True,True
5,8,1,dense,anticorrelated,0.3,48,48,1.0,0,0.0,True,True,True,True
1,8,1,dense,anticorrelated,0.8,234,234,1.0,0,0.0,True,True,True,True
2,8,1,dense,anticorrelated,0.8,299,299,1.0,0,0.0,True,True,True,True
3,8,1,dense,anticorrelated,0.8,195,195,1.0,0,0.0,True,True,True,True
4,8,1,dense,anticorrelated,0.8,300,300,1.0,0,0.0,True,True,True,True
5,8,1,dense,anticorrelated,0.8,144,144,1.0,0,0.0,True,True,True,True
1,8,1,sparse,random,0.3,70,70,1.0,0,0.0,True,True,True,True
2,8,1,sparse,random,0.3,160,160,1.0,0,0.0,True,True,True,True
3,8,1,sparse,random,0.3,249,249,1.0,0,0.0,True,True,True,True
4,8,1,sparse,random,0.3,192,192,1.0,0,0.0,True,True,True,True
5,8,1,sparse,random,0.3,77,86,0.8953488372093024,9,0.10465116279069768,True,True,True,True
1,8,1,sparse,random,0.8,140,140,1.0,0,0.0,True,True,True,True
2,8,1,sparse,random,0.8,560,560,1.0,0,0.0,True,True,True,True
3,8,1,sparse,random,0.8,664,664,1.0,0,0.0,True,True,True,True
4,8,1,sparse,random,0.8,576,576,1.0,0,0.0,True,True,True,True
5,8,1,sparse,random,0.8,308,308,1.0,0,0.0,True,True,True,True
1,8,1,sparse,correlated,0.3,3,3,1.0,0,0.0,True,True,True,True
2,8,1,sparse,correlated,0.3,5,5,1.0,0,0.0,True,True,True,True
3,8,1,sparse,correlated,0.3,18,18,1.0,0,0.0,True,True,True,True
4,8,1,sparse,correlated,0.3,4,4,1.0,0,0.0,True,True,True,True
5,8,1,sparse,correlated,0.3,6,6,1.0,0,0.0,True,True,True,True
1,8,1,sparse,correlated,0.8,6,6,1.0,0,0.0,True,True,True,True
2,8,1,sparse,correlated,0.8,15,15,1.0,0,0.0,True,True,True,True
3,8,1,sparse,correlated,0.8,48,48,1.0,0,0.0,True,True,True,True
4,8,1,sparse,correlated,0.8,16,18,0.8888888888888888,2,0.1111111111111111,True,True,True,True
5,8,1,sparse,correlated,0.8,12,13,0.9230769230769231,1,0.07692307692307693,True,True,True,True
1,8,1,sparse,anticorrelated,0.3,14,14,1.0,0,0.0,True,True,True,True
2,8,1,sparse,anticorrelated,0.3,24,24,1.0,0,0.0,True,True,True,True
3,8,1,sparse,anticorrelated,0.3,51,51,1.0,0,0.0,True,True,True,True
4,8,1,sparse,anticorrelated,0.3,26,26,1.0,0,0.0,True,True,True,True
5,8,1,sparse,anticorrelated,0.3,14,14,1.0,0,0.0,True,True,True,True
1,8,1,sparse,anticorrelated,0.8,28,28,1.0,0,0.0,True,True,True,True
2,8,1,sparse,anticorrelated,0.8,72,72,1.0,0,0.0,True,True,True,True
3,8,1,sparse,anticorrelated,0.8,136,136,1.0,0,0.0,True,True,True,True
4,8,1,sparse,anticorrelated,0.8,91,91,1.0,0,0.0,True,True,True,True
5,8,1,sparse,anticorrelated,0.8,35,35,1.0,0,0.0,True,True,True,True
1,8,2,dense,random,0.3,325,325,1.0,0,0.0,True,True,True,True
2,8,2,dense,random,0.3,282,288,0.9791666666666666,6,0.020833333333333332,True,True,True,True
3,8,2,dense,random,0.3,295,295,1.0,0,0.0,True,True,True,True
4,8,2,dense,random,0.3,200,205,0.975609756097561,5,0.024390243902439025,True,True,True,True
5,8,2,dense,random,0.3,220,220,1.0,0,0.0,True,True,True,True
1,8,2,dense,random,0.8,845,845,1.0,0,0.0,True,True,True,True
2,8,2,dense,random,0.8,940,940,1.0,0,0.0,True,True,True,True
3,8,2,dense,random,0.8,826,826,1.0,0,0.0,True,True,True,True
4,8,2,dense,random,0.8,600,605,0.9917355371900827,5,0.008264462809917356,True,True,True,True
5,8,2,dense,random,0.8,550,570,0.9649122807017544,20,0.03508771929824561,True,True,True,True
1,8,2,dense,correlated,0.3,25,25,1.0,0,0.0,True,True,True,True
2,8,2,dense,correlated,0.3,15,16,0.9375,1,0.0625,True,True,True,True
3,8,2,dense,correlated,0.3,16,20,0.8,4,0.2,True,True,True,True
4,8,2,dense,correlated,0.3,21,26,0.8076923076923077,5,0.19230769230769232,True,True,True,True
5,8,2,dense,correlated,0.3,12,14,0.8571428571428571,2,0.14285714285714285,True,True,True,True
1,8,2,dense,correlated,0.8,65,65,1.0,0,0.0,True,True,True,True
2,8,2,dense,correlated,0.8,45,48,0.9375,3,0.0625,True,True,True,True
3,8,2,dense,correlated,0.8,48,60,0.8,12,0.2,True,True,True,True
4,8,2,dense,correlated,0.8,63,68,0.9264705882352942,5,0.07352941176470588,True,True,True,True
5,8,2,dense,correlated,0.8,50,54,0.9259259259259259,4,0.07407407407407407,True,True,True,True
1,8,2,dense,anticorrelated,0.3,90,90,1.0,0,0.0,True,True,True,True
2,8,2,dense,anticorrelated,0.3,55,67,0.8208955223880597,12,0.1791044776119403,True,True,True,True
3,8,2,dense,anticorrelated,0.3,68,68,1.0,0,0.0,True,True,True,True
4,8,2,dense,anticorrelated,0.3,63,80,0.7875,17,0.2125,True,True,True,True
5,8,2,dense,anticorrelated,0.3,33,33,1.0,0,0.0,True,True,True,True
1,8,2,dense,anticorrelated,0.8,234,234,1.0,0,0.0,True,True,True,True
2,8,2,dense,anticorrelated,0.8,153,179,0.8547486033519553,26,0.1452513966480447,True,True,True,True
3,8,2,dense,anticorrelated,0.8,204,204,1.0,0,0.0,True,True,True,True
