n,m,density,profit_type,alpha,num_instances,avg_ratio,min_ratio,max_ratio,num_optimal,exact_rate,avg_profit_gap,min_profit_gap,max_profit_gap,avg_relative_profit_gap,min_relative_profit_gap,max_relative_profit_gap,greedy_feasible_count,exact_feasible_count,greedy_consistent_count,exact_consistent_count
5,3,dense,correlated,0.8,30,0.8668551262043379,0.625,1.0,8,0.26666666666666666,3.933333333333333,0,12,0.13314487379566217,0.0,0.375,30,30,30,30
5,3,dense,random,0.3,30,0.9917808219178083,0.7534246575342466,1.0,29,0.9666666666666667,1.2,0,36,0.00821917808219178,0.0,0.2465753424657534,30,30,30,30
5,3,dense,random,0.8,30,0.8891083616350028,0.6826923076923077,1.0,12,0.4,26.433333333333334,0,98,0.11089163836499713,0.0,0.3173076923076923,30,30,30,30
5,3,sparse,anticorrelated,0.3,30,0.9114971578129473,0.5,1.0,24,0.8,2.2,0,13,0.0885028421870527,0.0,0.5,30,30,30,30
5,3,sparse,anticorrelated,0.8,30,0.7349466253997379,0.40476190476190477,1.0,6,0.2,13.6,0,34,0.2650533746002622,0.0,0.5952380952380952,30,30,30,30
5,3,sparse,correlated,0.3,30,0.9477777777777778,0.5,1.0,25,0.8333333333333334,0.16666666666666666,0,1,0.05222222222222222,0.0,0.5,30,30,30,30
5,3,sparse,correlated,0.8,30,0.7978943944402597,0.5,1.0,6,0.2,3.0,0,9,0.2021056055597402,0.0,0.5,30,30,30,30
5,3,sparse,random,0.3,30,0.9301595824308049,0.5106382978723404,1.0,23,0.7666666666666667,10.6,0,92,0.06984041756919514,0.0,0.48936170212765956,30,30,30,30
5,3,sparse,random,0.8,30,0.7875337160268733,0.45901639344262296,1.0,6,0.2,64.63333333333334,0,192,0.2124662839731269,0.0,0.5409836065573771,30,30,30,30
6,1,dense,anticorrelated,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
6,1,dense,anticorrelated,0.8,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
6,1,dense,correlated,0.3,30,0.9828703703703705,0.8333333333333334,1.0,26,0.8666666666666667,0.13333333333333333,0,1,0.017129629629629627,0.0,0.16666666666666666,30,30,30,30
6,1,dense,correlated,0.8,30,0.9802987382987384,0.8,1.0,23,0.7666666666666667,0.4,0,4,0.019701261701261703,0.0,0.2,30,30,30,30
6,1,dense,random,0.3,30,0.9921348314606742,0.7640449438202247,1.0,29,0.9666666666666667,0.7,0,21,0.007865168539325843,0.0,0.23595505617977527,30,30,30,30
6,1,dense,random,0.8,30,0.9976109215017065,0.9283276450511946,1.0,29,0.9666666666666667,0.7,0,21,0.002389078498293515,0.0,0.07167235494880546,30,30,30,30
6,1,sparse,anticorrelated,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
6,1,sparse,anticorrelated,0.8,30,0.9984848484848484,0.9545454545454546,1.0,29,0.9666666666666667,0.03333333333333333,0,1,0.0015151515151515152,0.0,0.045454545454545456,30,30,30,30
